SKU,Date,Units_Sold,Forecast_Units,Snapshot_Date,Current_Stock,On_Order,Lead_Time_Days,Safety_Stock,Reorder_Point,Inventory_Value,Lead_Time_Weeks,Lead_Time_Demand,Cumulative_Forecast,Available_Supply,Projected_Balance,Stockout_Risk,Below_Safety_Stock,Below_Reorder_Point,Excess_Inventory,Risk_Level,Recommended_Action,Shortage_Units,Excess_Units,Product_Name,Category,Subcategory,Cost_Price,Selling_Price,Sales_At_Risk,Capital_Locked_Overstock,Recommended_Order_Qty,Priority
SKU012,2025-12-28,150,158.2830408807069,2025-12-01,47,60,12,16,58,67949.78,1.7142857142857142,271.3423557954975,626.9821996482301,107,-519.9821996482301,True,True,True,False,Stockout Risk,Prioritize replenishment,519.9821996482301,0.0,Product 012,Home Decor,Table,1256.89,8779.37,4565116.124125683,0.0,536,1
SKU034,2025-12-28,124,122.24681361071254,2025-12-01,34,103,5,34,58,52497.36,0.7142857142857143,87.31915257908038,493.4287879133001,137,-356.4287879133001,True,True,True,False,Stockout Risk,Prioritize replenishment,356.4287879133001,0.0,Product 034,Lighting,Cookware,1333.43,1518.14,541108.8000826974,0.0,391,1
SKU042,2025-12-28,148,154.0617128388362,2025-12-01,90,120,6,41,88,698500.8,0.8571428571428571,132.05289671900246,556.7324428273463,210,-346.7324428273463,True,True,True,False,Stockout Risk,Prioritize replenishment,346.7324428273463,0.0,Product 042,Home Decor,Table,4583.86,9198.83,3189532.7970534777,0.0,388,1
SKU026,2025-12-28,135,137.29738546953126,2025-12-01,160,70,5,31,59,988598.4,0.7142857142857143,98.0695610496652,543.8850147303397,230,-313.88501473033966,True,True,True,False,Stockout Risk,Prioritize replenishment,313.88501473033966,0.0,Product 026,Furniture,Shelf,1799.29,10939.54,3433757.6740431404,0.0,345,1
SKU018,2025-12-28,161,147.19037543183748,2025-12-01,235,102,8,66,184,627647.4,1.1428571428571428,168.21757192209998,620.4349818001425,337,-283.4349818001425,True,True,True,False,Stockout Risk,Prioritize replenishment,283.4349818001425,0.0,Product 018,Kitchen,Rug,5677.05,5575.41,1580266.2318783326,0.0,350,1
SKU031,2025-12-28,97,101.8278847516408,2025-12-01,93,40,13,28,113,234857.55,1.8571428571428572,189.10892882447578,406.8641831989576,133,-273.8641831989576,True,True,True,False,Stockout Risk,Prioritize replenishment,273.8641831989576,0.0,Product 031,Furniture,Chair,6300.65,8715.93,2386981.050269291,0.0,302,1
SKU040,2025-12-28,76,90.41766262361483,2025-12-01,67,29,9,36,93,78024.85,1.2857142857142858,116.25128051607622,349.7213583076116,96,-253.72135830761158,True,True,True,False,Stockout Risk,Prioritize replenishment,253.72135830761158,0.0,Product 040,Storage,Sofa,5169.07,2450.56,621759.4118143006,0.0,290,1
SKU010,2025-12-28,102,97.19018501752126,2025-12-01,83,70,13,22,60,595250.27,1.8571428571428572,180.49605788968233,388.1382950279148,153,-235.1382950279148,True,True,True,False,Stockout Risk,Prioritize replenishment,235.1382950279148,0.0,Product 010,Storage,Sofa,3889.06,663.46,156004.85321922036,0.0,258,1
SKU017,2025-12-28,98,85.63290723817289,2025-12-01,95,26,12,108,274,636809.7,1.7142857142857142,146.79926955115351,340.1939529685889,121,-219.19395296858892,True,True,True,False,Stockout Risk,Prioritize replenishment,219.19395296858892,0.0,Product 017,Home Decor,Cabinet,6703.26,8477.32,1858177.281379678,0.0,328,1
SKU045,2025-12-28,157,168.0903943833944,2025-12-01,307,142,4,88,142,558224.24,0.5714285714285714,96.05165393336821,610.5175863486631,449,-161.51758634866314,True,True,True,False,Stockout Risk,Prioritize replenishment,161.51758634866314,0.0,Product 045,Storage,Lamp,3634.56,7676.78,1239934.9765296902,0.0,250,1
SKU023,2025-12-28,99,89.01714849135197,2025-12-01,130,79,12,41,148,494858.0,1.7142857142857142,152.6008259851748,349.72069643344497,209,-140.72069643344497,True,True,True,False,Stockout Risk,Prioritize replenishment,140.72069643344497,0.0,Product 023,Kitchen,Cushion,2484.54,1416.74,199364.63946511882,0.0,182,1
SKU009,2025-12-28,77,65.84874925086254,2025-12-01,75,89,7,63,131,224818.5,1.0,65.84874925086254,256.0502634106834,164,-92.05026341068339,True,True,True,False,Stockout Risk,Prioritize replenishment,92.05026341068339,0.0,Product 009,Lighting,Organizer,3121.06,2336.89,215111.34006179188,0.0,156,1
SKU013,2025-12-28,71,84.84191807789131,2025-12-01,151,95,4,32,61,1169978.2,0.5714285714285714,48.481096044509314,330.0711260339242,246,-84.0711260339242,True,True,True,False,Stockout Risk,Prioritize replenishment,84.0711260339242,0.0,Product 013,Kitchen,Cushion,3936.71,5757.78,484063.04805560806,0.0,117,1
SKU033,2025-12-28,96,99.42299210968223,2025-12-01,208,168,12,55,183,707096.0,1.7142857142857142,170.4394150451695,420.22159527068203,376,-44.22159527068203,True,True,True,False,Stockout Risk,Prioritize replenishment,44.22159527068203,0.0,Product 033,Kitchen,Cushion,4657.74,3558.0,157340.43597308666,0.0,100,1
SKU019,2025-12-28,104,93.49312210119525,2025-12-01,227,114,14,25,126,738421.92,2.0,186.9862442023905,382.5606273310232,341,-41.56062733102323,True,True,True,False,Stockout Risk,Prioritize replenishment,41.56062733102323,0.0,Product 019,Lighting,Organizer,2670.84,4819.85,200315.9896414323,0.0,67,1
SKU048,2025-12-28,40,50.940927123963256,2025-12-01,106,50,3,22,31,381464.32,0.42857142857142855,21.831825910269966,195.15258748410022,156,-39.15258748410022,True,True,True,False,Stockout Risk,Prioritize replenishment,39.15258748410022,0.0,Product 048,Kitchen,Rug,6863.87,1379.55,54012.95206369046,0.0,62,1
SKU047,2025-12-28,88,88.71175788089111,2025-12-01,201,129,9,44,99,1231834.53,1.2857142857142858,114.05797441828858,347.7096094453331,330,-17.709609445333115,True,True,True,False,Stockout Risk,Prioritize replenishment,17.709609445333115,0.0,Product 047,Home Decor,Cabinet,3416.1,7938.22,140582.77589113225,0.0,62,1
SKU021,2025-12-28,50,45.4560350759443,2025-12-01,88,97,9,36,88,27021.28,1.2857142857142858,58.443473669071246,190.63422113180732,185,-5.6342211318073225,True,True,True,False,Stockout Risk,Prioritize replenishment,5.6342211318073225,0.0,Product 021,Furniture,Chair,6486.92,7711.28,43447.05672928317,0.0,42,1
SKU022,2025-12-28,84,63.203197163634925,2025-12-01,95,194,8,76,163,513246.05,1.1428571428571428,72.23222532986848,239.97599844308272,289,49.024001556917284,False,True,True,False,Replenishment Risk,Review reorder / place order,0.0,0.0,Product 022,Home Decor,Table,3252.96,4597.03,0.0,0.0,27,2
SKU039,2025-12-28,21,18.569027926784514,2025-12-01,93,35,3,17,31,284026.65,0.42857142857142855,7.958154825764791,74.51931872112168,128,53.48068127887832,False,False,False,True,Overstock Risk,Consider markdown / reduce replenishment,0.0,36.48068127887832,Product 039,Lighting,Organizer,6178.74,7118.95,0.0,225404.64464505663,0,3
SKU024,2025-12-28,71,74.4042418705215,2025-12-01,341,18,14,60,259,454699.63,2.0,148.808483741043,294.4943337967975,359,64.50566620320251,False,False,True,True,Replenishment Risk,Review reorder / place order,0.0,4.505666203202509,Product 024,Lighting,Cookware,5539.34,1768.87,0.0,24958.417026047784,0,2
SKU044,2025-12-28,61,53.36882997930654,2025-12-01,223,39,5,55,93,222337.69,0.7142857142857143,38.120592842361816,196.79873853085724,262,65.20126146914276,False,False,True,True,Replenishment Risk,Review reorder / place order,0.0,10.201261469142764,Product 044,Lighting,Cookware,488.84,5412.28,0.0,4986.784656575749,0,2
SKU027,2025-12-28,144,163.94955935044237,2025-12-01,567,103,3,83,133,2599048.62,0.42857142857142855,70.26409686447529,598.4523059568661,670,71.5476940431339,False,True,True,False,Replenishment Risk,Review reorder / place order,0.0,0.0,Product 027,Home Decor,Cabinet,307.06,8516.6,0.0,0.0,12,2
