SKU,Date,Units_Sold,Forecast_Units
SKU001,2025-10-12,82,83.83826139837016
SKU001,2025-10-19,82,82.00593689738572
SKU001,2025-10-26,78,80.15335295310301
SKU001,2025-11-02,93,76.28647319452627
SKU001,2025-11-09,92,83.6386706987357
SKU001,2025-11-16,87,81.18354587599697
SKU001,2025-11-23,84,81.50338502032058
SKU001,2025-11-30,84,80.84412822966569
SKU001,2025-12-07,88,79.3212843586165
SKU001,2025-12-14,89,82.78461085168935
SKU001,2025-12-21,91,81.10746849323488
SKU001,2025-12-28,76,85.24671910367631
SKU002,2025-10-12,56,62.770277255907324
SKU002,2025-10-19,59,65.73100864851523
SKU002,2025-10-26,51,59.381578758808246
SKU002,2025-11-02,70,59.542370013025064
SKU002,2025-11-09,72,55.8658617534901
SKU002,2025-11-16,60,61.02891412305722
SKU002,2025-11-23,64,60.16734802156489
SKU002,2025-11-30,66,66.32991699126234
SKU002,2025-12-07,51,60.67892545347832
SKU002,2025-12-14,55,57.1325294809014
SKU002,2025-12-21,55,57.39560573764755
SKU002,2025-12-28,51,60.473184711658405
SKU003,2025-10-12,33,40.22707363443129
SKU003,2025-10-19,26,41.27438258083732
SKU003,2025-10-26,34,31.17006562542454
SKU003,2025-11-02,41,30.62071018991386
SKU003,2025-11-09,39,31.701763160706093
SKU003,2025-11-16,37,31.16207342788895
SKU003,2025-11-23,41,31.86041943279181
SKU003,2025-11-30,29,39.07419598367011
SKU003,2025-12-07,38,34.79399891613394
SKU003,2025-12-14,33,34.00898868603179
SKU003,2025-12-21,23,33.61111894586895
SKU003,2025-12-28,34,31.361033948998394
SKU004,2025-10-12,28,28.90575147949373
SKU004,2025-10-19,24,29.490077922077926
SKU004,2025-10-26,24,27.830692800210056
SKU004,2025-11-02,32,26.86559704184705
SKU004,2025-11-09,27,27.830559607059627
SKU004,2025-11-16,31,25.97496031746032
SKU004,2025-11-23,28,26.388933056173848
SKU004,2025-11-30,22,28.412803492545756
SKU004,2025-12-07,28,27.510049805165583
SKU004,2025-12-14,39,28.91012162983216
SKU004,2025-12-21,38,29.72135531402638
SKU004,2025-12-28,30,27.203774201407757
SKU005,2025-10-12,107,94.58717121306972
SKU005,2025-10-19,105,95.05208830353762
SKU005,2025-10-26,98,93.67200237233128
SKU005,2025-11-02,104,98.53500610097257
SKU005,2025-11-09,114,97.00548687641339
SKU005,2025-11-16,102,103.1431125818626
SKU005,2025-11-23,115,95.538090782589
SKU005,2025-11-30,100,97.94652335374613
SKU005,2025-12-07,96,96.59088329484491
SKU005,2025-12-14,103,94.33611749136088
SKU005,2025-12-21,100,94.61322082687413
SKU005,2025-12-28,108,94.80408696649198
SKU006,2025-10-12,38,42.96265068604429
SKU006,2025-10-19,29,41.691860304642084
SKU006,2025-10-26,34,39.881409192319225
SKU006,2025-11-02,36,33.40996702555467
SKU006,2025-11-09,39,32.94608094889532
SKU006,2025-11-16,31,34.06826450936078
SKU006,2025-11-23,45,32.87060667548355
SKU006,2025-11-30,40,36.87824888222802
SKU006,2025-12-07,37,36.58584469542803
SKU006,2025-12-14,41,34.76024361603308
SKU006,2025-12-21,41,39.10036960954041
SKU006,2025-12-28,43,40.99954439172866
SKU007,2025-10-12,149,138.30794597024257
SKU007,2025-10-19,158,146.10602352326563
SKU007,2025-10-26,131,145.08404601893923
SKU007,2025-11-02,152,143.59712829554886
SKU007,2025-11-09,142,159.31298066123253
SKU007,2025-11-16,131,151.72045331200536
SKU007,2025-11-23,157,151.64553400938928
SKU007,2025-11-30,181,138.2633479513556
SKU007,2025-12-07,145,146.62351725252026
SKU007,2025-12-14,154,144.05966524604602
SKU007,2025-12-21,149,156.62067766380167
SKU007,2025-12-28,161,146.52527616569589
SKU008,2025-10-12,88,91.74419575474576
SKU008,2025-10-19,115,84.81012820377669
SKU008,2025-10-26,81,96.30657855070656
SKU008,2025-11-02,100,82.37632246282793
SKU008,2025-11-09,112,93.3524129422765
SKU008,2025-11-16,94,95.59408019758018
SKU008,2025-11-23,91,91.35512843882347
SKU008,2025-11-30,117,96.42975830926743
